num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Internet,RoundTrip,61,18,3,5,OOLSGN,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,30,27,15,5,PEKPEN,Malaysia,0,0,0,6.42,0
1,Mobile,RoundTrip,66,6,5,5,OOLPEN,Malaysia,1,1,1,8.83,0
2,Internet,RoundTrip,40,6,11,2,DPSPUS,South Korea,1,0,1,6.33,0
3,Internet,RoundTrip,56,4,13,4,DMKKIX,Japan,1,0,0,7.0,0
1,Internet,RoundTrip,113,45,12,5,KIXPNH,Japan,1,0,0,7.0,0
1,Internet,RoundTrip,54,5,14,1,SINSYD,Singapore,1,0,0,8.58,1
2,Internet,RoundTrip,66,4,8,4,BKIPER,Malaysia,1,0,0,5.62,1
2,Internet,RoundTrip,20,6,6,3,CGKPVG,China,1,0,0,5.33,0
1,Internet,RoundTrip,32,6,5,1,HKTKIX,Japan,1,0,0,7.0,1
1,Internet,RoundTrip,31,3,10,1,BLRPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,121,26,0,6,DMKMEL,Thailand,1,1,0,8.83,1
1,Internet,RoundTrip,6,114,18,1,MNLPER,Philippines,1,1,1,5.62,0
1,Internet,RoundTrip,41,88,12,1,DMKOOL,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,2,5,0,6,ICNPEN,Malaysia,0,0,0,6.62,1
1,Internet,RoundTrip,86,5,1,2,HKTSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,98,4,14,5,BKIPUS,South Korea,0,0,1,6.33,0
2,Internet,RoundTrip,65,21,14,4,DPSKIX,Japan,1,1,1,7.0,0
1,Internet,RoundTrip,87,5,7,5,KCHSYD,Malaysia,1,0,0,8.58,0
1,Internet,RoundTrip,115,23,9,5,DELSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,107,22,10,1,IKAMEL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,96,6,4,2,DPSICN,South Korea,1,0,1,6.62,0
1,Mobile,RoundTrip,445,5,17,6,AKLKUL,Malaysia,0,0,0,8.83,0
2,Internet,RoundTrip,170,6,4,4,HKTPEK,China,0,0,0,6.42,0
1,Internet,RoundTrip,150,4,12,2,DPSICN,South Korea,0,0,0,6.62,0
2,Internet,RoundTrip,44,5,8,5,CTUTGG,China,0,0,1,4.72,0
1,Internet,RoundTrip,7,3,3,4,JHBPEK,Malaysia,1,1,0,6.42,1
1,Internet,RoundTrip,139,6,14,4,KBRTPE,Malaysia,0,1,1,4.67,1
2,Internet,RoundTrip,79,6,15,4,MRUSIN,Singapore,1,0,1,7.42,0
2,Internet,RoundTrip,325,21,9,1,AKLKUL,New Zealand,1,0,0,8.83,1
1,Internet,RoundTrip,58,4,7,2,CTSSIN,Singapore,0,1,0,8.67,0
1,Internet,RoundTrip,59,80,14,5,COKPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,17,18,6,1,MNLSYD,Australia,0,0,0,8.58,0
2,Internet,RoundTrip,149,5,14,6,BKIICN,Malaysia,1,1,0,6.62,1
2,Internet,RoundTrip,119,17,8,1,MELMNL,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,40,1,8,7,MELPUS,India,0,1,1,8.83,0
1,Internet,RoundTrip,8,4,12,5,COKPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,121,41,7,6,KCHMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,134,95,6,1,PENSYD,Malaysia,1,0,1,8.58,0
2,Internet,RoundTrip,32,57,4,4,DELMEL,India,1,0,1,8.83,0
7,Internet,RoundTrip,118,5,11,3,DMKKIX,Thailand,1,0,0,7.0,0
2,Mobile,RoundTrip,54,5,14,4,ICNMLE,South Korea,0,1,0,6.62,0
2,Mobile,RoundTrip,210,5,14,1,ICNMYY,Malaysia,1,1,0,6.62,1
2,Internet,RoundTrip,3,6,6,4,DMKPEK,China,0,0,1,6.42,0
1,Internet,RoundTrip,298,6,11,3,BKICTU,China,1,0,0,4.72,1
3,Internet,RoundTrip,133,21,12,2,DMKPER,Australia,1,0,1,5.62,0
3,Internet,RoundTrip,221,4,7,1,ICNPEN,South Korea,1,0,0,6.62,1
1,Internet,RoundTrip,85,5,2,2,OOLSGN,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,136,28,1,1,ICNSYD,South Korea,1,0,0,8.58,0
2,Internet,RoundTrip,112,3,21,1,DMKKIX,Norway,1,0,0,7.0,0
1,Internet,RoundTrip,15,6,7,5,HKTHND,Japan,1,0,0,7.57,0
2,Internet,RoundTrip,232,6,11,1,AKLKUL,Malaysia,1,1,0,8.83,0
2,Internet,RoundTrip,217,6,16,2,AKLKUL,Malaysia,1,0,0,8.83,1
2,Internet,RoundTrip,32,3,12,4,CTSDMK,Japan,1,1,0,8.67,0
3,Internet,RoundTrip,36,6,16,3,CTSSIN,Singapore,1,0,1,8.67,1
1,Internet,RoundTrip,38,33,8,6,MAAPER,Australia,1,0,1,5.62,0
2,Mobile,RoundTrip,58,6,2,4,HKTXIY,China,0,1,0,5.0,1
1,Internet,RoundTrip,4,21,6,7,PERSBW,Malaysia,1,0,0,5.62,1
2,Internet,RoundTrip,23,6,9,2,BKICTS,Malaysia,1,0,0,8.67,0
1,Internet,RoundTrip,224,5,7,4,DPSPVG,China,0,0,0,5.33,0
2,Internet,RoundTrip,227,25,8,7,CMBOOL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,12,17,8,2,DELOOL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,176,6,9,2,HNDSIN,Singapore,1,0,1,7.57,1
1,Internet,RoundTrip,36,6,5,5,KTMSIN,Australia,1,0,0,4.75,0
5,Internet,RoundTrip,272,5,17,5,HNDSUB,Indonesia,1,0,1,7.57,0
3,Internet,RoundTrip,59,22,9,3,KNOTPE,Taiwan,1,0,0,4.67,0
2,Internet,RoundTrip,88,6,7,2,MELTPE,Taiwan,1,1,1,8.83,0
1,Internet,RoundTrip,2,2,13,3,PENSYD,Malaysia,1,1,1,8.58,1
2,Internet,RoundTrip,235,18,22,2,AKLKUL,Malaysia,1,0,1,8.83,1
2,Internet,RoundTrip,138,35,19,5,AKLKUL,Switzerland,1,0,1,8.83,0
1,Mobile,RoundTrip,14,5,9,3,DPSPVG,China,1,0,0,5.33,1
1,Internet,RoundTrip,55,19,9,5,KTMMFM,Macau,1,0,0,4.75,1
1,Internet,RoundTrip,25,2,2,6,DMKSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,27,178,11,6,OOLPUS,South Korea,1,0,0,8.83,0
1,Internet,RoundTrip,41,5,14,4,HKGOOL,Australia,1,1,1,8.83,1
1,Internet,RoundTrip,7,5,6,2,HKTOOL,Australia,0,1,0,8.83,0
4,Internet,RoundTrip,73,22,8,5,MELSGN,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,331,22,4,1,CMBOOL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,91,18,5,2,HNDPER,Australia,1,1,1,7.57,0
2,Internet,RoundTrip,26,30,13,3,BLRSYD,India,1,0,1,8.58,1
1,Internet,RoundTrip,28,2,21,7,SBWSYD,United Kingdom,0,0,0,8.58,1
2,Mobile,RoundTrip,16,6,15,1,ICNSIN,Singapore,1,1,0,6.62,0
1,Internet,RoundTrip,45,43,10,6,CMBSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,47,176,5,1,MELSGN,Vietnam,1,1,1,8.83,0
1,Internet,RoundTrip,73,27,12,2,PERPNH,Australia,1,1,1,5.62,0
1,Mobile,RoundTrip,11,3,14,5,DMKKIX,Japan,0,0,1,7.0,0
1,Internet,RoundTrip,40,3,15,1,KCHPER,Malaysia,0,0,0,5.62,1
2,Internet,RoundTrip,218,22,14,5,HGHMEL,China,1,0,1,8.83,1
1,Internet,RoundTrip,24,86,12,1,CGKHND,Indonesia,1,0,0,7.57,0
1,Internet,RoundTrip,2,89,9,2,BKIHND,Malaysia,1,0,0,7.57,0
2,Mobile,RoundTrip,91,23,17,7,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,64,30,12,2,KTMSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,34,39,1,5,MELSGN,Australia,1,1,0,8.83,0
3,Internet,RoundTrip,372,20,1,3,DPSHND,Indonesia,1,0,1,7.57,1
1,Internet,RoundTrip,58,4,23,2,LGKPER,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,79,90,4,3,AKLKUL,Malaysia,1,0,1,8.83,1
3,Internet,RoundTrip,68,6,1,6,PEKSIN,China,1,0,1,6.42,1
1,Internet,RoundTrip,105,5,16,2,CTSSIN,Singapore,1,0,1,8.67,0
1,Internet,RoundTrip,73,19,13,7,HNDPER,Japan,0,0,0,7.57,0
4,Internet,RoundTrip,63,5,2,4,JHBTPE,Malaysia,1,1,1,4.67,1
1,Internet,RoundTrip,13,26,4,1,CEBOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,56,5,6,2,ICNKBR,Malaysia,1,1,1,6.62,0
2,Internet,RoundTrip,360,18,8,2,HKTMEL,Australia,0,0,0,8.83,0
5,Internet,RoundTrip,228,17,11,5,DMKMEL,Australia,1,0,0,8.83,0
1,Mobile,RoundTrip,27,171,4,4,CGKHND,Japan,1,0,0,7.57,0
1,Internet,RoundTrip,29,26,6,2,COKPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,55,6,12,3,HKTMEL,Australia,0,0,1,8.83,1
5,Internet,RoundTrip,336,5,7,1,ICNSIN,Malaysia,0,0,0,6.62,0
1,Internet,RoundTrip,147,49,4,2,ICNPER,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,70,17,23,4,AKLKUL,New Zealand,0,0,1,8.83,0
1,Mobile,RoundTrip,24,5,13,6,PERPVG,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,2,3,11,2,JOGSYD,Australia,0,1,0,8.58,0
1,Internet,RoundTrip,348,91,6,6,CGKSYD,Australia,0,0,0,8.58,1
2,Internet,RoundTrip,34,2,2,1,ICNVTZ,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,20,6,16,1,CGKTPE,Indonesia,1,0,0,4.67,0
1,Internet,RoundTrip,14,34,13,2,CGKMEL,Australia,1,0,0,8.83,0
1,Mobile,RoundTrip,23,20,0,5,HYDSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,4,2,15,2,CTSSIN,Singapore,0,1,1,8.67,0
2,Mobile,RoundTrip,79,5,2,2,ICNSIN,South Korea,1,1,1,6.62,0
4,Internet,RoundTrip,82,5,13,7,ICNKNO,South Korea,1,0,0,6.62,0
2,Internet,RoundTrip,61,17,5,3,SGNSYD,Australia,0,0,0,8.58,0
1,Mobile,RoundTrip,7,18,23,5,BTUICN,Singapore,1,0,0,6.62,0
1,Internet,RoundTrip,20,17,14,3,CKGPER,Australia,1,0,1,5.62,0
2,Mobile,RoundTrip,7,3,11,5,KIXSIN,Singapore,1,0,0,7.0,0
3,Internet,RoundTrip,84,30,14,5,CGKDEL,Indonesia,1,1,0,5.52,1
1,Internet,RoundTrip,245,24,12,7,KIXMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,4,28,13,2,OOLTPE,Australia,0,0,1,8.83,0
2,Internet,RoundTrip,161,17,11,4,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,58,5,16,7,OOLTPE,Taiwan,1,1,1,8.83,0
1,Internet,RoundTrip,19,6,1,3,BKIHND,Malaysia,0,0,0,7.57,0
1,Internet,OneWay,78,64,5,7,ICNOOL,South Korea,1,1,1,8.83,0
1,Mobile,OneWay,7,5,3,3,BDOKIX,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,1,87,2,5,HYDSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,7,29,9,3,HGHMYY,China,1,0,0,5.07,0
2,Internet,RoundTrip,41,23,6,6,PERTRZ,Australia,1,0,0,5.62,0
2,Internet,RoundTrip,63,18,11,7,CANSYD,China,1,0,1,8.58,1
2,Internet,RoundTrip,87,4,6,5,KIXREP,Japan,1,0,0,7.0,0
1,Mobile,RoundTrip,11,4,11,7,DMKSYD,Thailand,0,0,0,8.58,1
2,Internet,RoundTrip,434,6,17,6,DPSICN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,12,4,3,3,DMKOOL,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,29,3,6,3,SINWUH,Hong Kong,1,0,1,5.13,0
2,Internet,RoundTrip,40,4,17,6,MELTPE,Taiwan,1,0,1,8.83,0
1,Internet,RoundTrip,66,34,11,7,CEBOOL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,35,3,3,3,CGKPUS,South Korea,0,1,1,6.33,0
1,Internet,RoundTrip,57,31,3,7,DMKSYD,Australia,0,0,0,8.58,0
1,Internet,RoundTrip,240,44,7,3,KBVPVG,Germany,1,1,0,5.33,0
1,Internet,RoundTrip,57,47,11,7,PEKSYD,Australia,1,0,1,8.58,0
2,Internet,RoundTrip,28,6,16,2,COKHGH,India,1,0,1,5.07,1
2,Mobile,RoundTrip,18,357,3,2,HYDPER,Australia,1,1,0,5.62,0
1,Internet,RoundTrip,18,27,14,7,PENTPE,Taiwan,0,0,0,4.67,0
2,Internet,RoundTrip,370,27,2,1,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,297,3,3,1,LBUPER,Malaysia,1,0,1,5.62,0
4,Internet,RoundTrip,283,26,4,7,CNXPEK,Thailand,0,0,0,6.42,1
1,Internet,RoundTrip,49,19,5,6,PENPUS,Malaysia,1,1,0,6.33,1
1,Internet,RoundTrip,16,43,10,7,RGNSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,84,21,2,4,COKMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,52,91,11,1,PERTPE,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,29,3,10,4,JHBMEL,Australia,1,0,1,8.83,0
2,Internet,RoundTrip,172,45,17,5,CANDEL,China,1,0,1,5.52,0
3,Internet,RoundTrip,111,42,9,7,HKGPER,Hong Kong,1,1,1,5.62,0
1,Internet,RoundTrip,15,5,5,2,DPSICN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,22,3,4,3,SINTPE,Singapore,0,0,0,4.67,0
1,Internet,RoundTrip,219,21,4,5,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,25,27,4,1,HYDPER,Australia,1,1,1,5.62,0
2,Internet,RoundTrip,110,20,12,4,MELSGN,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,23,19,6,5,ICNOOL,Australia,1,1,0,8.83,0
1,Internet,RoundTrip,24,17,9,5,HYDOOL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,26,62,8,1,TPETRZ,Taiwan,1,0,1,4.67,1
1,Internet,RoundTrip,33,6,17,6,MELXIY,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,2,29,11,1,MELPVG,Australia,0,0,0,8.83,0
2,Internet,RoundTrip,5,3,0,3,ICNKNO,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,56,6,8,2,MELMLE,Australia,0,0,0,8.83,0
1,Internet,RoundTrip,50,6,10,3,HKTPEK,China,0,0,0,6.42,0
1,Mobile,RoundTrip,13,20,1,6,HYDSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,16,89,1,2,JHBKTM,Malaysia,1,0,0,4.75,0
1,Internet,RoundTrip,135,32,23,6,KTMMFM,Macau,1,0,0,4.75,1
1,Internet,RoundTrip,117,5,7,1,OOLTPE,Taiwan,1,1,1,8.83,0
1,Internet,RoundTrip,61,43,8,5,HNDPEN,Japan,0,1,1,7.57,0
1,Internet,RoundTrip,60,21,0,4,MELSGN,Australia,0,0,1,8.83,0
1,Internet,RoundTrip,109,30,3,1,PERPNH,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,218,51,13,7,KCHPER,Australia,0,0,1,5.62,0
1,Mobile,RoundTrip,60,6,12,7,DMKKIX,Japan,1,1,1,7.0,0
1,Internet,RoundTrip,55,87,11,2,MELTRZ,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,52,30,11,4,ICNSIN,Singapore,0,0,0,6.62,0
1,Internet,RoundTrip,153,24,7,6,AKLKUL,New Zealand,0,0,1,8.83,0
2,Internet,RoundTrip,146,25,3,1,DMKOOL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,44,47,16,5,CCUSYD,India,1,1,1,8.58,0
1,Internet,RoundTrip,11,23,14,5,PENTPE,Malaysia,0,0,0,4.67,1
1,Internet,RoundTrip,50,5,4,6,CTSSIN,Singapore,1,1,1,8.67,0
1,Internet,RoundTrip,1,3,3,3,HNDPEN,Japan,0,0,0,7.57,0
1,Internet,RoundTrip,61,25,8,6,MELTPE,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,86,17,20,3,PNHSYD,Canada,1,1,0,8.58,0
2,Internet,RoundTrip,101,57,1,4,DELPER,Australia,1,0,0,5.62,0
2,Internet,RoundTrip,29,3,11,4,DPSSYD,Australia,1,0,0,8.58,0
1,Internet,RoundTrip,119,3,11,6,ICNSYD,Tunisia,1,0,0,8.58,0
1,Internet,RoundTrip,82,6,0,1,BKIKIX,Japan,1,0,1,7.0,0
1,Internet,RoundTrip,321,5,6,5,CGKICN,Hong Kong,0,0,0,6.62,0
1,Internet,RoundTrip,20,59,12,5,DPSIKA,Australia,1,0,1,8.15,0
1,Internet,RoundTrip,3,123,5,4,KTMREP,Nepal,1,0,1,4.75,0
1,Internet,RoundTrip,99,19,7,5,MAAMEL,India,1,1,1,8.83,1
3,Internet,RoundTrip,1,4,5,3,CTSHKT,Thailand,1,0,0,8.67,0
1,Internet,RoundTrip,12,29,12,1,ICNKTM,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,11,2,5,1,SINWUH,Singapore,0,0,0,5.13,1
1,Internet,RoundTrip,30,4,13,2,KIXOOL,Australia,1,1,0,8.83,0
4,Internet,RoundTrip,23,5,11,2,BKIPEK,China,0,0,0,6.42,0
1,Internet,RoundTrip,8,5,19,7,DMKICN,South Korea,0,0,0,6.62,0
1,Internet,RoundTrip,5,3,8,4,CGKPVG,Indonesia,0,0,1,5.33,1
1,Internet,RoundTrip,1,30,12,2,PENTPE,Taiwan,0,0,0,4.67,0
2,Internet,RoundTrip,43,6,0,5,BKIPER,Malaysia,0,0,1,5.62,0
2,Internet,RoundTrip,62,6,15,4,HNDMLE,Japan,0,0,0,7.57,0
1,Internet,RoundTrip,41,20,6,4,AKLKUL,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,191,4,14,3,ICNSYD,South Korea,0,1,1,8.58,0
1,Internet,RoundTrip,123,40,2,3,HKTPEK,Thailand,0,0,0,6.42,0
1,Internet,RoundTrip,13,5,12,1,PERRGN,Australia,1,0,0,5.62,0
1,Internet,RoundTrip,2,44,10,1,CANPER,Australia,1,0,0,5.62,0
3,Internet,RoundTrip,260,5,9,3,DMKPER,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,22,39,7,3,CMBPVG,Japan,1,0,1,5.33,0
1,Internet,RoundTrip,30,4,4,1,JHBMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,26,37,10,7,DELSIN,France,1,0,0,5.52,0
1,Internet,RoundTrip,71,41,4,2,CEBMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,25,28,8,2,SYDTPE,Taiwan,1,1,0,8.58,0
1,Internet,RoundTrip,83,21,3,6,COKMEL,United States,1,1,1,8.83,0
1,Internet,RoundTrip,235,18,18,6,AKLKUL,China,0,0,1,8.83,0
2,Internet,RoundTrip,16,4,3,1,HNDLGK,Japan,1,0,0,7.57,0
1,Internet,RoundTrip,10,18,9,6,MELPVG,Australia,1,0,1,8.83,0
4,Internet,RoundTrip,365,6,16,4,CGKCTU,Indonesia,0,0,0,4.72,0
2,Internet,RoundTrip,193,4,17,6,CGKKIX,Indonesia,0,1,0,7.0,0
2,Mobile,RoundTrip,424,6,15,2,PEKTWU,China,0,0,0,6.42,0
2,Internet,RoundTrip,28,6,3,5,DADMEL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,76,63,8,6,MYYSYD,Malaysia,1,1,1,8.58,0
3,Internet,RoundTrip,31,5,4,3,HKTPEK,China,1,0,0,6.42,1
2,Internet,RoundTrip,54,20,12,7,OOLVTE,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,38,159,2,1,ICNMEL,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,6,6,8,3,PENPUS,Malaysia,1,1,1,6.33,0
2,Internet,RoundTrip,33,5,8,3,HNDRGN,Myanmar (Burma),1,0,1,7.57,0
1,Internet,RoundTrip,23,6,10,6,KCHPER,Malaysia,0,1,1,5.62,1
1,Internet,RoundTrip,9,4,13,1,CMBSYD,Australia,0,1,1,8.58,0
1,Internet,RoundTrip,42,19,13,3,PERTRZ,Australia,1,0,1,5.62,0
1,Internet,RoundTrip,112,27,6,3,DPSPUS,South Korea,0,0,1,6.33,0
1,Internet,RoundTrip,72,6,11,1,MELSGN,Australia,0,1,1,8.83,0
3,Mobile,RoundTrip,267,5,16,6,CTUDMK,China,1,0,0,4.72,0
2,Mobile,RoundTrip,379,3,3,1,DMKKIX,Thailand,1,1,0,7.0,0
1,Internet,RoundTrip,77,46,15,4,BKIMEL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,120,64,9,3,PEKTGG,China,1,0,0,6.42,1
1,Internet,RoundTrip,37,20,5,5,MELSGN,Vietnam,1,0,0,8.83,0
2,Mobile,RoundTrip,40,21,3,5,ICNSYD,Australia,1,0,1,8.58,0
1,Internet,RoundTrip,35,6,6,3,HKTPER,Australia,1,1,1,5.62,1
2,Internet,RoundTrip,358,3,6,2,DPSICN,South Korea,0,0,0,6.62,0
2,Internet,RoundTrip,334,5,9,5,PERTPE,Taiwan,0,0,1,5.62,0
1,Internet,RoundTrip,38,18,4,1,HKGPER,Australia,1,1,1,5.62,0
1,Internet,RoundTrip,382,24,9,2,AKLKUL,Malaysia,0,0,0,8.83,0
2,Internet,RoundTrip,288,56,9,1,AKLKUL,Malaysia,1,1,1,8.83,1
1,Mobile,RoundTrip,143,6,14,6,DMKOOL,Germany,0,1,0,8.83,0
1,Internet,RoundTrip,6,5,14,4,HYDMEL,Australia,1,1,1,8.83,0
2,Internet,RoundTrip,395,5,17,7,PVGSIN,China,0,0,0,5.33,0
1,Internet,RoundTrip,109,37,2,4,HNDPER,Australia,1,1,1,7.57,0
2,Internet,RoundTrip,67,21,11,2,CGKICN,Indonesia,1,0,0,6.62,1
3,Internet,RoundTrip,159,29,2,2,COKSYD,Australia,1,1,1,8.58,0
1,Internet,RoundTrip,263,5,17,7,CGKSYD,Indonesia,0,0,0,8.58,0
1,Internet,RoundTrip,22,19,1,3,DPSKTM,United States,1,0,0,4.75,1
1,Internet,RoundTrip,62,40,16,7,KIXSUB,Indonesia,1,0,0,7.0,1
2,Internet,RoundTrip,191,17,9,6,MELSGN,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,356,5,13,1,DPSICN,South Korea,0,0,1,6.62,0
1,Mobile,RoundTrip,45,23,21,6,DMKSYD,Australia,1,1,0,8.58,0
1,Internet,RoundTrip,2,5,23,7,HYDSYD,Australia,0,1,1,8.58,0
3,Internet,RoundTrip,58,47,7,4,HYDPER,India,1,1,1,5.62,0
1,Mobile,RoundTrip,76,36,13,7,COKKIX,Japan,1,1,1,7.0,0
3,Internet,RoundTrip,47,23,5,6,COKSYD,Australia,1,1,1,8.58,0
2,Internet,RoundTrip,62,28,7,5,HKGOOL,Australia,0,0,0,8.83,0
1,Mobile,RoundTrip,115,6,15,7,ICNPEN,Malaysia,0,0,0,6.62,1
1,Internet,RoundTrip,47,3,6,3,HKTKIX,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,8,62,8,2,KTMPEN,Malaysia,1,0,0,4.75,1
1,Internet,RoundTrip,391,28,13,6,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,43,89,7,6,CGKPER,Australia,1,0,0,5.62,0
2,Internet,RoundTrip,178,6,8,4,HKTPER,Australia,1,1,0,5.62,0
4,Internet,RoundTrip,20,6,14,3,CTUMLE,China,1,0,0,4.72,1
1,Internet,RoundTrip,7,33,13,4,CGKIKA,United States,1,1,1,8.15,0
1,Internet,RoundTrip,25,37,5,1,KCHPEK,Malaysia,1,0,0,6.42,0
1,Internet,RoundTrip,241,4,9,7,HNDREP,Japan,0,0,0,7.57,0
1,Internet,RoundTrip,183,18,10,2,OOLPEN,Australia,1,0,1,8.83,0
2,Internet,RoundTrip,143,22,11,5,DPSHND,Japan,1,1,0,7.57,0
